(2150.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2330.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2210.0,-1360.0) name=C0_r10, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2410.0,-1360.0) name=C0_r20, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2610.0,-1360.0) name=C0_r30, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2810.0,-1360.0) name=C0_r40, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(3060.0,-1360.0) name=C0_r50, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2210.0,-1060.0) name=C0_l0, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2410.0,-1060.0) name=C0_l1, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2610.0,-1060.0) name=C0_l2, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(2810.0,-1060.0) name=C0_l3, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(3060.0,-1060.0) name=C0_l4, ports=DD, mode=TE, submitter='sequoiac', grouping=5
(1250.0,-300.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1430.0,-300.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1610.0,-300.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2690.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(2870.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(3050.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1250.0,-1865.0) name=MZI2, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1430.0,-1865.0) name=MZI3, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1610.0,-1865.0) name=MZI4, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1930.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(2070.0,-1360.0) name=filters, ports=DDDDD, mode=TE, submitter='sequoiac', grouping=5
(1677.8,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(1801.19,-1360.0) name=circuit, ports=DDDDDD, mode=TE, submitter='sequoiac', grouping=5
(1250.0,-1360.0) name=C0_100, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
(1330.0,-1360.0) name=C0_200, ports=DDDD, mode=TE, submitter='sequoiac', grouping=5
